"","date","hour","avg_level","max_level","count"
"126","2019-05-07",22,29.8333333333333,44,12
"127","2019-05-07",23,32.5,43,12
"128","2019-05-08",2,29.1111111111111,52,9
"129","2019-05-08",3,30.4166666666667,50,12
"130","2019-05-08",4,28.75,45,12
"131","2019-05-08",5,26.9166666666667,52,12
"132","2019-05-08",6,28,49,12
"133","2019-05-08",7,26.5,49,12
"134","2019-05-08",8,30.6666666666667,57,12
"135","2019-05-08",9,39.2727272727273,66,11
"136","2019-05-08",10,39.7272727272727,64,11
"137","2019-05-08",11,36.6666666666667,51,3
"138","2019-05-08",12,27,40,11
"139","2019-05-08",13,14.9090909090909,20,11
"140","2019-05-08",14,17.9090909090909,26,11
"141","2019-05-08",15,24.8333333333333,38,12
"142","2019-05-08",16,25.5833333333333,44,12
"143","2019-05-08",17,24,42,12
"144","2019-05-08",18,21.8181818181818,31,11
"145","2019-05-08",19,25.2727272727273,41,11
"146","2019-05-08",20,28.5,52,10
"147","2019-05-08",21,26.5833333333333,48,12
"148","2019-05-08",22,29.9090909090909,71,11
"149","2019-05-08",23,29.25,53,12
"150","2019-05-09",2,36.5555555555556,56,9
"151","2019-05-09",3,39.5,66,12
"152","2019-05-09",4,40.25,64,12
"153","2019-05-09",5,37.25,69,12
"154","2019-05-09",6,33.5,57,12
"155","2019-05-09",7,37.3333333333333,59,12
"156","2019-05-09",8,43.8,68,10
"157","2019-05-09",9,41.0909090909091,76,11
"158","2019-05-09",10,42.8333333333333,75,12
"159","2019-05-09",11,39.4166666666667,58,12
"160","2019-05-09",12,31.4166666666667,49,12
"161","2019-05-09",13,19.4166666666667,29,12
"162","2019-05-09",14,24.75,34,12
"163","2019-05-09",15,26.1666666666667,40,12
"164","2019-05-09",16,24.6666666666667,51,12
"165","2019-05-09",17,22.3333333333333,44,12
"166","2019-05-09",18,24.3636363636364,46,11
"167","2019-05-09",19,25.6363636363636,47,11
"168","2019-05-09",20,29.6363636363636,61,11
"169","2019-05-09",21,29.4545454545455,71,11
"170","2019-05-09",22,38.2,66,10
"171","2019-05-09",23,52,87,9
"172","2019-05-10",2,20.25,27,8
"173","2019-05-10",3,26.2727272727273,60,11
"174","2019-05-10",4,30.3636363636364,87,11
"175","2019-05-10",5,37.7272727272727,99,11
"176","2019-05-10",6,40.3636363636364,95,11
"177","2019-05-10",7,41.6363636363636,64,11
"178","2019-05-10",8,37.9090909090909,63,11
"179","2019-05-10",9,41.7272727272727,74,11
"180","2019-05-10",10,41.7272727272727,61,11
"181","2019-05-10",11,37.6,60,10
"182","2019-05-10",12,25.4,36,10
"183","2019-05-10",13,20.1,33,10
"184","2019-05-10",14,15,24,10
